k,effN_S_H1975,effN_U_H1975,effN_S_H2020,effN_U_H2020,KL_S_H1975,KL_U_H1975,KL_S_H2020,KL_U_H2020,h1975_S_over_U_ratio,h2020_relative_diff,artifact_present_1975,artifact_absent_2020,validates_section_11,inertia_S,inertia_U
10,5.795681655323864,3.8326236857170115,6.99882679412638,5.316464295638878,0.7454719949364002,1.1090354888959126,0.6068425588244113,0.8317766166719345,1.5121968997171715,0.2403777873027791,True,False,False,7.2268452644348145,7.591628074645996
25,6.642030532272321,4.178090089928935,6.4201270834387065,5.500221057377488,1.575458105075021,1.9390215990345332,1.6094379124341003,1.7140875411870098,1.589728892702095,0.1432847066897162,True,True,True,4.139918327331543,4.44474983215332
50,3.4518142947275123,4.178090089928935,7.752902958704066,6.420127083438706,2.8231230300829226,2.632168779594479,2.163955656882057,2.302585092994046,0.8261703841781508,0.17190668867705525,False,True,False,0.6105598211288452,0.789783239364624
