model,device,dtype,n_pass1,n_pass2,pass1_total_sec,pass1_sec_per_abstract,pass2_total_sec,pass2_sec_per_abstract,shape,finite,norm_mean,norm_std,norm_min,norm_max
scincl,mps,fp16,10,50,11.314028978347778,1.1314028978347779,8.210897207260132,0.16421794414520263,"(50, 768)",True,23.53968048095703,0.20618262887001038,23.098480224609375,23.941518783569336
specter2,mps,fp16,10,50,6.613794803619385,0.6613794803619385,11.853225946426392,0.23706451892852784,"(50, 768)",True,21.998411178588867,0.1912485808134079,21.365535736083984,22.38900375366211
qwen3,mps,fp16,10,50,22.858479976654053,2.2858479976654054,211.3753321170807,4.227506642341614,"(50, 768)",True,1.0,2.52881093842916e-08,0.9999999403953552,1.0
