year,field,n_sampled,concept_coverage,mean_concepts_per_paper,median_concepts_per_paper,mean_concepts_l1_per_paper,mean_max_score,mean_mean_score
2007,cs,200,1.0,9.565,9.0,2.925,0.5890629780292511,0.34408231261575023
2007,physics,200,1.0,15.66,16.0,4.745,0.7611275087296963,0.3747228093942415
2008,cs,200,1.0,9.405,7.0,3.005,0.5982820895314217,0.34908367847951033
2008,physics,200,1.0,14.685,15.5,4.57,0.7601236283779145,0.3728661127768932
2009,cs,200,1.0,8.665,8.0,2.895,0.5785279139876366,0.3454783078869322
2009,physics,200,1.0,14.825,15.0,4.605,0.7614619800448418,0.3779738740029589
2010,cs,200,1.0,9.685,9.0,3.135,0.6336855821311473,0.354619636670942
2010,physics,200,1.0,15.555,16.0,4.825,0.7532378074526787,0.3619611520855804
2011,cs,200,1.0,10.215,10.0,3.295,0.609097291752696,0.3421726632868044
2011,physics,200,1.0,14.23,15.0,4.55,0.7676017248630523,0.3593282684522846
2012,cs,200,1.0,9.665,8.5,3.095,0.6224680467694997,0.3519035159071516
2012,physics,200,1.0,14.585,15.0,4.345,0.751663112938404,0.3722473900502267
2013,cs,200,1.0,10.425,9.0,3.335,0.6023551596701145,0.34543172059321314
2013,physics,200,1.0,14.15,14.0,4.385,0.7418406331539154,0.36284421711635334
2014,cs,200,1.0,9.505,9.0,2.96,0.5866150454431772,0.3425408163306761
2014,physics,200,1.0,14.075,14.0,4.335,0.7595648644864559,0.38466005122075153
2015,cs,200,1.0,8.655,7.0,2.765,0.5832948097586632,0.34743353402272104
2015,physics,200,1.0,12.635,13.0,3.975,0.7396068060398102,0.3785786981807884
2016,cs,200,1.0,9.675,9.0,3.05,0.6169615192711353,0.3510537290506863
2016,physics,200,1.0,14.25,14.0,4.39,0.7460800440609455,0.36894286288522593
2017,cs,200,1.0,10.1,10.0,3.285,0.6111654909700155,0.3446438881457503
2017,physics,200,1.0,14.08,14.0,4.42,0.7432490225881339,0.3742507381970273
2018,cs,200,1.0,10.64,11.0,3.41,0.6374530659615993,0.3516093566653612
2018,physics,200,1.0,14.215,15.0,4.33,0.7534289579093456,0.3653408477098751
2019,cs,200,1.0,9.45,8.0,3.015,0.6066402161866427,0.3564463597702411
2019,physics,200,1.0,13.505,14.0,4.16,0.7347590301930904,0.3714110501265174
2020,cs,200,1.0,9.345,8.0,3.0,0.6384407756477595,0.36533440568161174
2020,physics,200,1.0,13.705,14.0,4.28,0.7464875991642476,0.36503241458431757
2021,cs,200,1.0,10.805,10.0,3.505,0.6335765030980111,0.34887255927262983
2021,physics,200,1.0,14.915,15.0,4.63,0.7596751910448074,0.36559160921999634
2022,cs,200,1.0,11.015,11.0,3.49,0.6529507940262556,0.35539947638989217
2022,physics,200,1.0,15.175,15.0,4.75,0.750282841026783,0.36365639094334073
2023,cs,200,1.0,11.445,12.0,3.625,0.6850190845876932,0.3705439760792171
2023,physics,200,1.0,15.3,16.0,4.795,0.7687746080756187,0.37036490919554893
2024,cs,200,1.0,9.88,10.0,3.02,0.6391341192275286,0.36358968852376383
2024,physics,200,1.0,12.35,12.0,3.99,0.7251846565306187,0.3619355738215498
