field,tertile,min_citations,max_citations,n,n_with_abstract,coverage,mean_citations
cs,T1,0,1,7994,2933,0.36690017513134854,0.09394545909432074
cs,T2,2,2820,3006,1878,0.624750499001996,30.29940119760479
physics,T1,0,6,7450,4219,0.5663087248322147,1.0377181208053692
physics,T2,7,3628,3550,2244,0.632112676056338,49.60535211267606
