k,effN_S_H1975,effN_U_H1975,effN_S_H2020,effN_U_H2020,KL_S_H1975,KL_U_H1975,KL_S_H2020,KL_U_H2020,h1975_S_over_U_ratio,h2020_relative_diff,artifact_present_1975,artifact_absent_2020,validates_section_11,inertia_S,inertia_U
30,14.530155838106266,10.69004733685512,16.192328090499494,16.677836808432787,0.9416378455387457,1.198550895158069,0.8666598262562375,0.8204500142189084,1.3592227779957482,0.029111012627717144,False,True,False,37.19561004638672,72.3061752319336
50,11.518279609011422,16.068970414286795,15.553944648626539,22.072992951621387,1.6847543674748566,1.3684662298706005,1.4010420571535054,1.117668182590402,0.7168025898392725,0.2953404786239461,False,False,False,32.08686828613281,66.23626708984375
100,12.869501261743283,19.08404944064584,13.35457466445402,22.46135838413416,2.283643250465567,1.9229839743185568,2.2299778550122844,1.7933737583581961,0.674359040085769,0.4054422517078407,False,False,False,22.9150390625,54.72915267944336
