field,concept_id,concept_name,parent_path,snapshot_recorded,year_min,year_max,notes
cs,C41008148,Computer science,(top-level),2026-04-27T20:20:00+00:00,1970,2024,Phase 0.1 Check 1
physics,C121332964,Physics,(top-level),2026-04-27T20:20:00+00:00,1970,2024,Phase 0.1 Check 1
